window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.6649,-0.1692,0.6941,1.5902,0.0,615750.0,206313.0,194,172,0.05,0.3,0.35,0.6,0.75,0.85,0.95,1.0,0.55,0.7,0.1,0.04
3,-0.6659,-0.1696,0.6941,1.5721,0.0,594750.0,198697.0,194,172,0.05,0.2,0.4,0.65,0.7,0.85,0.95,1.0,0.5,0.7,0.08,0.04
3,-0.6661,-0.1696,0.6941,1.5687,0.0,576750.0,192593.0,194,172,0.05,0.15,0.3,0.6,0.75,0.85,0.95,1.0,0.5,0.7,0.12,0.04
3,-0.6668,-0.1699,0.6941,1.62,0.0,678000.0,225926.0,193,171,0.1,0.25,0.4,0.5,0.7,0.85,0.95,1.0,0.55,0.7,0.06,0.04
3,-0.6669,-0.17,0.6941,1.5578,0.0,588000.0,195878.0,197,175,0.05,0.15,0.35,0.55,0.7,0.85,0.95,1.0,0.65,0.8,0.06,0.04
5,0.2223,0.0346,0.3231,1.886,0.1072,627000.0,766374.0,184,171,0.05,0.25,0.4,0.5,0.75,0.85,0.95,1.0,0.5,0.75,0.06,0.05
5,0.2217,0.0345,0.3231,1.8873,0.1069,630000.0,769677.0,184,171,0.05,0.3,0.4,0.5,0.75,0.85,0.95,1.0,0.5,0.7,0.1,0.03
5,0.2213,0.0345,0.3231,1.8844,0.1067,630750.0,770320.0,185,172,0.05,0.3,0.4,0.6,0.7,0.85,0.95,1.0,0.5,0.75,0.1,0.05
5,0.2178,0.034,0.3231,1.8692,0.1052,606000.0,737988.0,184,171,0.05,0.2,0.35,0.5,0.7,0.85,0.95,1.0,0.55,0.7,0.06,0.04
5,0.2174,0.0339,0.3231,1.8666,0.105,606750.0,738630.0,185,172,0.05,0.2,0.35,0.6,0.65,0.85,0.95,1.0,0.55,0.75,0.1,0.04
